Place of interest;Type of place;Place address;name;address
Aparcamiento disuasorio Aviación Española;Aparcamiento disuasorio Aviación Española;CALLE FUENTE DE LIMA 5;Caramuel;Calle Caramuel nº 51
Aparcamiento disuasorio Estadio Metropolitano Sur ES-02b;Aparcamiento disuasorio Estadio Metropolitano Sur ES-02b;AVENIDA ARCENTALES 37;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Aparcamiento disuasorio Fuente de la Mora;Aparcamiento disuasorio Fuente de la Mora;CALLE DULCE CHACON ;Manuel Caldeiro;Paseo de la Castellana nº 298
Aparcamiento disuasorio Islazul;Aparcamiento disuasorio Islazul;CALLE CALDERILLA 1;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Aparcamiento disuasorio Pitis;Aparcamiento disuasorio Pitis;CALLE GLORIA FUERTES ;Pedro Rico;Calle Pedro Rico nº 4
Aparcamiento mixto. Arquitecto Ribera;Aparcamiento mixto. Arquitecto Ribera;CALLE BARCELO 2;Barceló;Calle Barceló nº 7
Aparcamiento mixto. Avenida de América (intercambiador);Aparcamiento mixto. Avenida de América (intercambiador);CALLE PRADENA DEL RINCON 4 c/v avenida de América;Avenida de América 1;Calle Padre Indalecio Hernández nº 1
Aparcamiento mixto. Avenida de Portugal;Aparcamiento mixto. Avenida de Portugal;AVENIDA PORTUGAL 155;Caramuel;Calle Caramuel nº 51
Aparcamiento mixto. Brasil;Aparcamiento mixto. Brasil;"CALLE GENERAL YAG&amp;Uuml;E 11";San Germán 5;Calle San Germán nº 5
Aparcamiento mixto. Casino de la Reina;Aparcamiento mixto. Casino de la Reina;CALLE CASINO 3;Embajadores 2;Glorieta de Embajadores nº 2
Aparcamiento mixto. Condesa de Gavia;Aparcamiento mixto. Condesa de Gavia;PLAZA CONDESA DE GAVIA;Cuatro Caminos 2;Calle Doctor Santero nº 1
Aparcamiento mixto. Corona Boreal;Aparcamiento mixto. Corona Boreal;CALLE PEREZ DE VICTORIA ;Facultad Derecho;Avenida Complutense nº 23
Aparcamiento mixto. Daoíz y Velarde;Aparcamiento mixto. Daoíz y Velarde;AVENIDA CIUDAD DE BARCELONA 3;Puerta de Granada;Avenida de Menéndez Pelayo nº 38
Aparcamiento mixto. Díaz Porlier;Aparcamiento mixto. Díaz Porlier;CALLE DIEGO DE LEON 62;Diego de león;Calle Alonso Heredia nº 1
Aparcamiento mixto. Encuentro;Aparcamiento mixto. Encuentro;PLAZA ENCUENTRO 1;Plaza del Encuentro;Calle Arroyo de las Pilillas nº 6
Aparcamiento mixto. Felipe II;Aparcamiento mixto. Felipe II;CALLE ANTONIA MERCE 5;Palacio de Deportes;Calle Goya nº 99
Aparcamiento mixto. Fernández Shaw;Aparcamiento mixto. Fernández Shaw;CALLE CARLOS Y GUILLERMO FERNANDEZ SHAW ;Conde de Casal;Plaza del Conde de Casal nº 8
Aparcamiento mixto. Fuencarral;Aparcamiento mixto. Fuencarral;CALLE FUENCARRAL 111;Malasaña;Calle Manuela Malasaña nº 5
Aparcamiento mixto. Hernani;Aparcamiento mixto. Hernani;CALLE HERNANI 60;Cuatro Caminos 2;Calle Doctor Santero nº 1
Aparcamiento mixto. Jacinto Benavente;Aparcamiento mixto. Jacinto Benavente;PLAZA JACINTO BENAVENTE 6;Jacinto Benavente;Plaza de Jacinto Benavente
Aparcamiento mixto. José Castán Tobeñas;Aparcamiento mixto. José Castán Tobeñas;CALLE CAPITAN HAYA 57;Plaza de Castilla 2;Paseo Castellana (Fundación Canal)
Aparcamiento mixto. Marqués de Salamanca;Aparcamiento mixto. Marqués de Salamanca;PLAZA MARQUES DE SALAMANCA 8;General Pardiñas;Calle General Pardiñas nº 56
Aparcamiento mixto. Miguel Yuste;Aparcamiento mixto. Miguel Yuste;CALLE MIGUEL YUSTE 11;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Aparcamiento mixto. Montalbán;Aparcamiento mixto. Montalbán;CALLE MONTALBAN 4;Antonio Maura;Calle Antonio Maura nº 15
Aparcamiento mixto. Orense;Aparcamiento mixto. Orense;CALLE SOR ANGELA DE LA CRUZ 27;Metro Tetuán;Calle Marqués de Viana nº 3
Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella';Aparcamiento mixto. Pedro Zerolo 'antes denominado Vázquez de Mella';PLAZA PEDRO ZEROLO 1;Plaza de Pedro Zerolo;Plaza de Pedro Zerolo nº 1
Aparcamiento mixto. Plaza Mayor;Aparcamiento mixto. Plaza Mayor;CALLE FELIPE III 11;Calle Mayor;Calle Mayor nº 20
Aparcamiento mixto. Plaza de Oriente;Aparcamiento mixto. Plaza de Oriente;PLAZA ORIENTE 1;Plaza Ramales;Plaza de Ramales
Aparcamiento mixto. Plaza de Santo Domingo (cerrado);Aparcamiento mixto. Plaza de Santo Domingo (cerrado);PLAZA SANTO DOMINGO 1;Santo Domingo;Plaza de Santo Domingo nº 1
Aparcamiento mixto. Presidente Carmona;Aparcamiento mixto. Presidente Carmona;AVENIDA PRESIDENTE CARMONA 3;General Perón 1;Avenida del General Perón frente al nº 4
Aparcamiento mixto. Recoletos (cerrado);Aparcamiento mixto. Recoletos (cerrado);PASEO RECOLETOS 4;Cibeles;Plaza Cibeles
Aparcamiento mixto. República Dominicana;Aparcamiento mixto. República Dominicana;PLAZA REPUBLICA DOMINICANA 6;Colombia;Calle Colombia nº 7
Aparcamiento mixto. Reyes Magos;Aparcamiento mixto. Reyes Magos;PLAZA REYES MAGOS 14;Puerta de Mariano de Cavia;Avenida del Mediterráneo nº 19
Aparcamiento mixto. San Cayetano;Aparcamiento mixto. San Cayetano;PLAZA SAN CAYETANO 1;Cartagena;Calle Cartagena nº 34
Aparcamiento mixto. San Germán II (antes General Yagüe);Aparcamiento mixto. San Germán II (antes General Yagüe);AVENIDA BRASIL 15;San Germán 5;Calle San Germán nº 5
Aparcamiento mixto. Serrano I;Aparcamiento mixto. Serrano I;CALLE JUAN BRAVO 4;Castellana 42;Paseo de la Castellana nº 42
Aparcamiento mixto. Serrano II;Aparcamiento mixto. Serrano II;CALLE JOSE ORTEGA Y GASSET 1;Ortega y Gasset;Calle José Ortega y Gasset nº 4
Aparcamiento mixto. Serrano III;Aparcamiento mixto. Serrano III;CALLE JORGE JUAN 1;Plaza de Colón;Calle Goya nº 1
Aparcamiento mixto. Sevilla;Aparcamiento mixto. Sevilla;CALLE ALCALA 17;Sevilla;Calle Alcalá nº 27
Aparcamiento mixto. Sánchez Bustillo;Aparcamiento mixto. Sánchez Bustillo;CALLE SANCHEZ BUSTILLO 1;Museo Reina Sofía;Calle Santa Isabel nº 57
Aparcamiento mixto. Velázquez - Ayala;Aparcamiento mixto. Velázquez - Ayala;CALLE VELAZQUEZ 47;Ayala;Calle Ayala nº 44
Aparcamiento mixto. Velázquez - Jorge Juan;Aparcamiento mixto. Velázquez - Jorge Juan;CALLE VELAZQUEZ 25;General Pardiñas;Calle Goya nº 18
Aparcamiento mixto. Verdaguer y García;Aparcamiento mixto. Verdaguer y García;CALLE VERDAGUER Y GARCIA 1;Derechos Humanos;Calle Derechos Humanos nº 12
Aparcamiento para Residentes. Virgen del Romero;Aparcamiento para Residentes. Virgen del Romero;PLAZA VIRGEN DEL ROMERO 9;C.D. Concepción;Calle Jose del Hierro nº 5
Aparcamiento para residentes del Centro Polivalente Barceló;Aparcamiento para residentes del Centro Polivalente Barceló;CALLE BARCELO;Barceló;Calle Barceló nº 7
Aparcamiento para residentes.  Ginzo de Limia;Aparcamiento para residentes.  Ginzo de Limia;CALLE VALENCIA DE DON JUAN 16;Pedro Rico;Calle Pedro Rico nº 4
Aparcamiento para residentes.  Valderromán;Aparcamiento para residentes.  Valderromán;CALLE VALDERROMAN 24-B;Francos Rodríguez;Calle Francos Rodríguez nº 62
Aparcamiento para residentes. Aguilar de Campóo;Aparcamiento para residentes. Aguilar de Campóo;CALLE ANTONIO MACHADO 10 entrada y salida por calle Antonio Machado;Francos Rodríguez;Calle Francos Rodríguez nº 62
Aparcamiento para residentes. Aguilón;Aparcamiento para residentes. Aguilón;PASEO CHOPERA 27;Jaime el Conquistador;Calle Jaime el Conquistador nº 30
Aparcamiento para residentes. Agustín Lara;Aparcamiento para residentes. Agustín Lara;CALLE EMBAJADORES 58 calle sombrerete esquina mesón de paredes;Plaza de Nelson Mandela;Calle Mesón de Paredes nº 35
Aparcamiento para residentes. Alameda (cerrado);Aparcamiento para residentes. Alameda (cerrado);CALLE ALAMEDA 11;Almadén;Calle Almadén nº 28
Aparcamiento para residentes. Alcalde Sáinz de Baranda;Aparcamiento para residentes. Alcalde Sáinz de Baranda;CALLE ALCALDE SAINZ DE BARANDA 81;Sainz de Baranda;Calle Doctor Esquerdo nº 99
Aparcamiento para residentes. Alcazaba;Aparcamiento para residentes. Alcazaba;CALLE SINESIO DELGADO 26 Avenida de Asturias c/v Ribadavia. Frente a gasolinera;Remonta;Calle Azucenas nº 1
Aparcamiento para residentes. Alcántara;Aparcamiento para residentes. Alcántara;CALLE EMBAJADORES 58 calle sombrerete esquina mesón de paredes;Plaza de Nelson Mandela;Calle Mesón de Paredes nº 35
Aparcamiento para residentes. Alonso Cano;Aparcamiento para residentes. Alonso Cano;CALLE JOSE ABASCAL 21;José Abascal;Calle José Abascal nº 33
Aparcamiento para residentes. Altos de Lillo;Aparcamiento para residentes. Altos de Lillo;CALLE BUBIERCA 5 c/v Altos de Lillo;Pavones;Calle Hacienda de Pavones nº 342
Aparcamiento para residentes. Aluche;Aparcamiento para residentes. Aluche;CALLE ILLESCAS 151;Caramuel;Calle Caramuel nº 51
Aparcamiento para residentes. América Española;Aparcamiento para residentes. América Española;CALLE SANCHO DAVILA 1;Alcalá-Ventas;Calle Alejandro González nº 1
Aparcamiento para residentes. Andorra II;Aparcamiento para residentes. Andorra II;CALLE SILVANO 61;Carlota O’Neill;Calle Carlota O'Neill nº 32
Aparcamiento para residentes. Andévalo;Aparcamiento para residentes. Andévalo;CALLE ANDEVALO 6 ENTRE C/ ANDÉVALO Y C/ HORNACHOS;Concordia;Calle Arroyo del Olivar nº 6
